trap,habitat,abax_continuus_continuus,amara_aenea,calathus_cinctus,harpalus_rufipalpis_rufipalpis,harpalus_serripes_serripes,harpalus_subcylindricus,harpalus_tardus,metallina_lampros,pseudoophonus _calceatus,pseudoophonus_griseus,pterostichus_micans,calathus_fuscipes graecus,carabus_convexus_convexus,pseudoophonus_rufipes,amara_fulvipes,carabus_germari_fiorii
1,Forest,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,Forest,0,0,0,1,0,2,0,0,4,2,0,0,0,4,0,0
3,Forest,0,0,0,1,0,3,1,0,1,0,0,0,0,1,0,0
4,Forest,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,Grassland,2,2,0,21,4,0,9,0,2,2,0,0,0,0,0,1
6,Grassland,5,0,0,8,2,2,9,0,0,1,0,0,0,1,0,0
7,Grassland,2,0,0,1,1,0,1,0,2,0,0,0,0,0,1,0
8,Grassland,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9,Ferns,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Ferns,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,Ferns,9,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0
12,Ferns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0