trap,habitat,calathus_fuscipes_graecus,carabus_problematicus_problematicus,carabus_ convexus_convexus,abax_contractus,cychrus_italicus,harpalus_atratus,pseudoophonus_rufipes,pterostichus_micans,carabus_glabratus_latior,cymindis_cingulata,carabus_intricatus,carabus_ granulatus_interstitialis,pseudoophonus_griseus,amara_convexior,harpalus_tardus,harpalus_rufipalpis_rufipalpis,syntomus_truncatellus,metallina_lampros,calathus_rubripes,calosoma_sycophanta,abax_baenningeri,carabus_germari_fiorii,limodromus_assimilis,stomis_roccae_roccae,amara_bifrons,laemostenus_janthinus_coeruleus,calathus_neocalathus_melanocephalus,parophonus_parophonus_maculicornis,harpalus_harpalus_marginellus
1,Chestnut grove,5,9,1,2,1,2,1,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,Chestnut grove,47,4,1,2,0,0,16,14,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Chestnut grove,12,8,2,3,1,0,38,9,1,1,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Chestnut grove,1,10,3,5,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
5,Chestnut grove,7,6,6,4,0,0,3,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Chestnut grove,3,14,8,4,0,1,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Chestnut grove,7,4,2,0,1,0,8,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Chestnut grove,0,8,0,4,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Chestnut grove,3,1,2,2,0,0,9,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Chestnut grove,2,0,0,1,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Chestnut grove,7,11,4,8,0,0,17,3,5,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
12,Chestnut grove,26,11,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Chestnut grove,44,9,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,Chestnut grove,5,5,1,3,2,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,Chestnut grove,24,3,0,3,4,0,1,12,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,Ecotone,1,5,2,0,1,0,0,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ecotone,44,9,3,1,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Ecotone,57,10,2,0,0,0,16,0,10,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Ecotone,12,16,2,10,1,0,25,5,26,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Ecotone,74,37,6,0,1,0,5,1,65,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
21,Ecotone,27,30,6,1,0,0,5,0,16,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Ecotone,6,6,0,1,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Ecotone,6,35,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Ecotone,2,35,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,Ecotone,9,4,1,0,0,0,1,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Ecotone,1,1,2,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Ecotone,4,26,0,0,1,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Ecotone,37,22,2,4,0,0,0,0,27,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Ecotone,29,14,0,1,2,0,0,1,20,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,Ecotone,1,2,0,9,1,0,1,1,16,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
31,Grassland,0,2,0,0,0,0,7,0,2,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Grassland,1,0,0,3,0,0,17,0,2,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Grassland,10,0,0,0,0,0,5,1,3,0,2,0,11,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
34,Grassland,4,1,0,0,0,0,12,0,4,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Grassland,0,0,0,0,0,0,12,0,1,0,0,0,5,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Grassland,23,6,0,0,0,0,5,0,35,0,2,0,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
37,Grassland,60,5,3,0,0,0,31,0,8,0,0,0,19,1,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Grassland,23,1,1,0,0,0,20,0,1,0,0,1,26,0,3,7,0,0,0,0,0,0,0,0,1,0,0,0,0
39,Grassland,5,0,0,0,0,0,8,0,3,0,0,0,18,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Grassland,3,0,0,0,0,1,9,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,Grassland,16,4,0,0,0,0,3,0,6,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
42,Grassland,5,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Grassland,12,3,1,0,0,0,3,0,5,0,1,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
44,Grassland,53,9,4,4,0,0,35,3,4,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0
45,Grassland,11,5,0,1,0,0,27,0,2,0,0,0,51,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0