Species,2021,2022,sum,m,f
"Calosoma (Calosoma) sycophanta (Linnaeus, 1758)",10,0,10,5,5
"Carabus (Carabus) granulatus interstitialis Duftschmid, 1812",6,3,9,3,6
"Carabus (Chaetocarabus) intricatus Linnaeus, 1761",30,16,46,15,31
"Carabus (Megodontus) germari fiorii Born, 1901",1,0,1,0,1
"Carabus (Mesocarabus) problematicus problematicus Herbst, 1786",292,110,402,183,219
"Carabus (Oreocarabus) glabratus latior Born, 1895",342,70,412,133,279
"Carabus (Tomocarabus) convexus convexus Fabricius, 1775",54,11,65,14,51
"Cychrus italicus Bonelli, 1810",15,2,17,7,10
"Harpalus (Harpalus) atratus Latreille, 1804",3,1,4,1,3
"Harpalus (Harpalus) marginellus Dejean, 1829",1,0,1,0,1
"Harpalus (Harpalus) rufipalpis rufipalpis (Sturm, 1818)",38,25,63,14,49
"Harpalus (Harpalus) tardus (Panzer, 1797)",24,13,37,17,21
"Parophonus (Parophonus) maculicornis (Duftschmid, 1812)",1,0,1,0,1
"Pseudoophonus (Pseudoophonus) griseus (Panzer, 1796)",74,103,177,86,91
"Pseudoophonus (Pseudoophonus) rufipes (De Geer, 1774)",179,197,376,116,260
"Cymindis (Cymindis) cingulata Dejean, 1825",1,2,3,2,1
"Syntomus truncatellus (Linnaeus, 1760)",3,0,3,1,2
"Calathus (Calathus) fuscipes graecus Dejean, 1831",406,323,729,203,526
"Calathus (Calathus) rubripes (Dejean, 1831)",3,0,3,0,3
"Calathus (Neocalathus) melanocephalus (Linnaeus, 1758)",0,2,2,0,2
"Laemostenus (Laemostenus) janthinus coeruleus (Dejean, 1828)",0,1,1,0,1
"Limodromus assimilis (Paykull, 1790)",0,1,1,1,0
"Abax (Abax) baenningeri Schauberger, 1927",1,1,2,0,2
"Abax (Abax) contractus (Heer, 1841)",44,36,80,16,64
"Amara (Amara) convexior Stephens, 1828",9,2,11,6,5
"Amara (Celia) bifrons (Gyllenhal, 1810)",0,1,1,0,1
"Pterostichus (Pterostichus) micans Heer, 1841",63,19,82,26,56
"Stomis (Stomis) roccae roccae Schatzmayr, 1925",0,1,1,0,1
"Metallina (Metallina) lampros (Herbst, 1784)",4,0,4,1,3